Name	Type 1	Type 2	HP	Total	Total	Total	Total	Attack	Defense	Sp. Atk	Sp. Def	Speed	Generation	Legendary
Electrode	Electric		60	480	480	480	480	50	70	80	80	140	1	False
Exeggcute	Grass	Psychic	60	325	325	325	325	40	80	60	45	40	1	False
Exeggutor	Grass	Psychic	95	520	520	520	520	95	85	125	65	55	1	False
Cubone	Ground		50	320	320	320	320	50	95	40	50	35	1	False
Marowak	Ground		60	425	425	425	425	80	110	50	80	45	1	False
Hitmonlee	Fighting		50	455	455	455	455	120	53	35	110	87	1	False
Hitmonchan	Fighting		50	455	455	455	455	105	79	35	110	76	1	False
Lickitung	Normal		90	385	385	385	385	55	75	60	75	30	1	False
Koffing	Poison		40	340	340	340	340	65	95	60	45	35	1	False
Weezing	Poison		65	490	490	490	490	90	120	85	70	60	1	False
Rhyhorn	Ground	Rock	80	345	345	345	345	85	95	30	30	25	1	False
Rhydon	Ground	Rock	105	485	485	485	485	130	120	45	45	40	1	False
Chansey	Normal		250	450	450	450	450	5	5	35	105	50	1	False
Tangela	Grass		65	435	435	435	435	55	115	100	40	60	1	False
Kangaskhan	Normal		105	490	490	490	490	95	80	40	80	90	1	False
KangaskhanMega Kangaskhan	Normal		105	590	590	590	590	125	100	60	100	100	1	False
Horsea	Water		30	295	295	295	295	40	70	70	25	60	1	False
Seadra	Water		55	440	440	440	440	65	95	95	45	85	1	False
Goldeen	Water		45	320	320	320	320	67	60	35	50	63	1	False
Seaking	Water		80	450	450	450	450	92	65	65	80	68	1	False
Staryu	Water		30	340	340	340	340	45	55	70	55	85	1	False
Starmie	Water	Psychic	60	520	520	520	520	75	85	100	85	115	1	False
Mr. Mime	Psychic	Fairy	40	460	460	460	460	45	65	100	120	90	1	False
Scyther	Bug	Flying	70	500	500	500	500	110	80	55	80	105	1	False
Jynx	Ice	Psychic	65	455	455	455	455	50	35	115	95	95	1	False
Electabuzz	Electric		65	490	490	490	490	83	57	95	85	105	1	False
Magmar	Fire		65	495	495	495	495	95	57	100	85	93	1	False
Pinsir	Bug		65	500	500	500	500	125	100	55	70	85	1	False
PinsirMega Pinsir	Bug	Flying	65	600	600	600	600	155	120	65	90	105	1	False
Tauros	Normal		75	490	490	490	490	100	95	40	70	110	1	False
Magikarp	Water		20	200	200	200	200	10	55	15	20	80	1	False
Gyarados	Water	Flying	95	540	540	540	540	125	79	60	100	81	1	False
GyaradosMega Gyarados	Water	Dark	95	640	640	640	640	155	109	70	130	81	1	False
Lapras	Water	Ice	130	535	535	535	535	85	80	85	95	60	1	False
Ditto	Normal		48	288	288	288	288	48	48	48	48	48	1	False
Eevee	Normal		55	325	325	325	325	55	50	45	65	55	1	False
Vaporeon	Water		130	525	525	525	525	65	60	110	95	65	1	False
Jolteon	Electric		65	525	525	525	525	65	60	110	95	130	1	False
Flareon	Fire		65	525	525	525	525	130	60	95	110	65	1	False
Porygon	Normal		65	395	395	395	395	60	70	85	75	40	1	False
Omanyte	Rock	Water	35	355	355	355	355	40	100	90	55	35	1	False
Omastar	Rock	Water	70	495	495	495	495	60	125	115	70	55	1	False
Kabuto	Rock	Water	30	355	355	355	355	80	90	55	45	55	1	False
Kabutops	Rock	Water	60	495	495	495	495	115	105	65	70	80	1	False
Aerodactyl	Rock	Flying	80	515	515	515	515	105	65	60	75	130	1	False
AerodactylMega Aerodactyl	Rock	Flying	80	615	615	615	615	135	85	70	95	150	1	False
Snorlax	Normal		160	540	540	540	540	110	65	65	110	30	1	False
Articuno	Ice	Flying	90	580	580	580	580	85	100	95	125	85	1	True
Zapdos	Electric	Flying	90	580	580	580	580	90	85	125	90	100	1	True
Moltres	Fire	Flying	90	580	580	580	580	100	90	125	85	90	1	True
Dratini	Dragon		41	300	300	300	300	64	45	50	50	50	1	False
Dragonair	Dragon		61	420	420	420	420	84	65	70	70	70	1	False
Dragonite	Dragon	Flying	91	600	600	600	600	134	95	100	100	80	1	False
Mewtwo	Psychic		106	680	680	680	680	110	90	154	90	130	1	True
MewtwoMega Mewtwo X	Psychic	Fighting	106	780	780	780	780	190	100	154	100	130	1	True
MewtwoMega Mewtwo Y	Psychic		106	780	780	780	780	150	70	194	120	140	1	True
Mew	Psychic		100	600	600	600	600	100	100	100	100	100	1	False
Chikorita	Grass		45	318	318	318	318	49	65	49	65	45	2	False
Bayleef	Grass		60	405	405	405	405	62	80	63	80	60	2	False
Meganium	Grass		80	525	525	525	525	82	100	83	100	80	2	False
Cyndaquil	Fire		39	309	309	309	309	52	43	60	50	65	2	False
Quilava	Fire		58	405	405	405	405	64	58	80	65	80	2	False
Typhlosion	Fire		78	534	534	534	534	84	78	109	85	100	2	False
Totodile	Water		50	314	314	314	314	65	64	44	48	43	2	False
Croconaw	Water		65	405	405	405	405	80	80	59	63	58	2	False
Feraligatr	Water		85	530	530	530	530	105	100	79	83	78	2	False
Sentret	Normal		35	215	215	215	215	46	34	35	45	20	2	False
Furret	Normal		85	415	415	415	415	76	64	45	55	90	2	False
Hoothoot	Normal	Flying	60	262	262	262	262	30	30	36	56	50	2	False
Noctowl	Normal	Flying	100	442	442	442	442	50	50	76	96	70	2	False
Ledyba	Bug	Flying	40	265	265	265	265	20	30	40	80	55	2	False
Ledian	Bug	Flying	55	390	390	390	390	35	50	55	110	85	2	False
Spinarak	Bug	Poison	40	250	250	250	250	60	40	40	40	30	2	False
Ariados	Bug	Poison	70	390	390	390	390	90	70	60	60	40	2	False
Crobat	Poison	Flying	85	535	535	535	535	90	80	70	80	130	2	False
Chinchou	Water	Electric	75	330	330	330	330	38	38	56	56	67	2	False
Lanturn	Water	Electric	125	460	460	460	460	58	58	76	76	67	2	False
Pichu	Electric		20	205	205	205	205	40	15	35	35	60	2	False
Cleffa	Fairy		50	218	218	218	218	25	28	45	55	15	2	False
Igglybuff	Normal	Fairy	90	210	210	210	210	30	15	40	20	15	2	False
Togepi	Fairy		35	245	245	245	245	20	65	40	65	20	2	False
Togetic	Fairy	Flying	55	405	405	405	405	40	85	80	105	40	2	False
Natu	Psychic	Flying	40	320	320	320	320	50	45	70	45	70	2	False
Xatu	Psychic	Flying	65	470	470	470	470	75	70	95	70	95	2	False
Mareep	Electric		55	280	280	280	280	40	40	65	45	35	2	False
Flaaffy	Electric		70	365	365	365	365	55	55	80	60	45	2	False
Ampharos	Electric		90	510	510	510	510	75	85	115	90	55	2	False
AmpharosMega Ampharos	Electric	Dragon	90	610	610	610	610	95	105	165	110	45	2	False
Bellossom	Grass		75	490	490	490	490	80	95	90	100	50	2	False
Marill	Water	Fairy	70	250	250	250	250	20	50	20	50	40	2	False
Azumarill	Water	Fairy	100	420	420	420	420	50	80	60	80	50	2	False
Sudowoodo	Rock		70	410	410	410	410	100	115	30	65	30	2	False
Politoed	Water		90	500	500	500	500	75	75	90	100	70	2	False
Hoppip	Grass	Flying	35	250	250	250	250	35	40	35	55	50	2	False
Skiploom	Grass	Flying	55	340	340	340	340	45	50	45	65	80	2	False
Jumpluff	Grass	Flying	75	460	460	460	460	55	70	55	95	110	2	False
Aipom	Normal		55	360	360	360	360	70	55	40	55	85	2	False
Sunkern	Grass		30	180	180	180	180	30	30	30	30	30	2	False
Sunflora	Grass		75	425	425	425	425	75	55	105	85	30	2	False
Yanma	Bug	Flying	65	390	390	390	390	65	45	75	45	95	2	False
Wooper	Water	Ground	55	210	210	210	210	45	45	25	25	15	2	False
Quagsire	Water	Ground	95	430	430	430	430	85	85	65	65	35	2	False
Espeon	Psychic		65	525	525	525	525	65	60	130	95	110	2	False
Umbreon	Dark		95	525	525	525	525	65	110	60	130	65	2	False
Murkrow	Dark	Flying	60	405	405	405	405	85	42	85	42	91	2	False
Slowking	Water	Psychic	95	490	490	490	490	75	80	100	110	30	2	False
Misdreavus	Ghost		60	435	435	435	435	60	60	85	85	85	2	False
Unown	Psychic		48	336	336	336	336	72	48	72	48	48	2	False
Wobbuffet	Psychic		190	405	405	405	405	33	58	33	58	33	2	False
Girafarig	Normal	Psychic	70	455	455	455	455	80	65	90	65	85	2	False
Pineco	Bug		50	290	290	290	290	65	90	35	35	15	2	False
Forretress	Bug	Steel	75	465	465	465	465	90	140	60	60	40	2	False
Dunsparce	Normal		100	415	415	415	415	70	70	65	65	45	2	False
Gligar	Ground	Flying	65	430	430	430	430	75	105	35	65	85	2	False
Steelix	Steel	Ground	75	510	510	510	510	85	200	55	65	30	2	False
SteelixMega Steelix	Steel	Ground	75	610	610	610	610	125	230	55	95	30	2	False
Snubbull	Fairy		60	300	300	300	300	80	50	40	40	30	2	False
Granbull	Fairy		90	450	450	450	450	120	75	60	60	45	2	False
Qwilfish	Water	Poison	65	430	430	430	430	95	75	55	55	85	2	False
Scizor	Bug	Steel	70	500	500	500	500	130	100	55	80	65	2	False
ScizorMega Scizor	Bug	Steel	70	600	600	600	600	150	140	65	100	75	2	False
Shuckle	Bug	Rock	20	505	505	505	505	10	230	10	230	5	2	False
Heracross	Bug	Fighting	80	500	500	500	500	125	75	40	95	85	2	False
HeracrossMega Heracross	Bug	Fighting	80	600	600	600	600	185	115	40	105	75	2	False
Sneasel	Dark	Ice	55	430	430	430	430	95	55	35	75	115	2	False
Teddiursa	Normal		60	330	330	330	330	80	50	50	50	40	2	False
Ursaring	Normal		90	500	500	500	500	130	75	75	75	55	2	False
Slugma	Fire		40	250	250	250	250	40	40	70	40	20	2	False
Magcargo	Fire	Rock	50	410	410	410	410	50	120	80	80	30	2	False
Swinub	Ice	Ground	50	250	250	250	250	50	40	30	30	50	2	False
Piloswine	Ice	Ground	100	450	450	450	450	100	80	60	60	50	2	False
Corsola	Water	Rock	55	380	380	380	380	55	85	65	85	35	2	False
Remoraid	Water		35	300	300	300	300	65	35	65	35	65	2	False
Octillery	Water		75	480	480	480	480	105	75	105	75	45	2	False
Delibird	Ice	Flying	45	330	330	330	330	55	45	65	45	75	2	False
Mantine	Water	Flying	65	465	465	465	465	40	70	80	140	70	2	False
Skarmory	Steel	Flying	65	465	465	465	465	80	140	40	70	70	2	False
Houndour	Dark	Fire	45	330	330	330	330	60	30	80	50	65	2	False
Houndoom	Dark	Fire	75	500	500	500	500	90	50	110	80	95	2	False
HoundoomMega Houndoom	Dark	Fire	75	600	600	600	600	90	90	140	90	115	2	False
Kingdra	Water	Dragon	75	540	540	540	540	95	95	95	95	85	2	False
Phanpy	Ground		90	330	330	330	330	60	60	40	40	40	2	False
Donphan	Ground		90	500	500	500	500	120	120	60	60	50	2	False
Porygon2	Normal		85	515	515	515	515	80	90	105	95	60	2	False
Stantler	Normal		73	465	465	465	465	95	62	85	65	85	2	False
Smeargle	Normal		55	250	250	250	250	20	35	20	45	75	2	False
Tyrogue	Fighting		35	210	210	210	210	35	35	35	35	35	2	False
Hitmontop	Fighting		50	455	455	455	455	95	95	35	110	70	2	False
Smoochum	Ice	Psychic	45	305	305	305	305	30	15	85	65	65	2	False
Elekid	Electric		45	360	360	360	360	63	37	65	55	95	2	False
Magby	Fire		45	365	365	365	365	75	37	70	55	83	2	False
Miltank	Normal		95	490	490	490	490	80	105	40	70	100	2	False
Blissey	Normal		255	540	540	540	540	10	10	75	135	55	2	False
Raikou	Electric		90	580	580	580	580	85	75	115	100	115	2	True
Entei	Fire		115	580	580	580	580	115	85	90	75	100	2	True
Suicune	Water		100	580	580	580	580	75	115	90	115	85	2	True
Larvitar	Rock	Ground	50	300	300	300	300	64	50	45	50	41	2	False
Pupitar	Rock	Ground	70	410	410	410	410	84	70	65	70	51	2	False
Tyranitar	Rock	Dark	100	600	600	600	600	134	110	95	100	61	2	False
TyranitarMega Tyranitar	Rock	Dark	100	700	700	700	700	164	150	95	120	71	2	False
Lugia	Psychic	Flying	106	680	680	680	680	90	130	90	154	110	2	True
Ho-oh	Fire	Flying	106	680	680	680	680	130	90	110	154	90	2	True
Celebi	Psychic	Grass	100	600	600	600	600	100	100	100	100	100	2	False
Treecko	Grass		40	310	310	310	310	45	35	65	55	70	3	False
Grovyle	Grass		50	405	405	405	405	65	45	85	65	95	3	False
Sceptile	Grass		70	530	530	530	530	85	65	105	85	120	3	False
SceptileMega Sceptile	Grass	Dragon	70	630	630	630	630	110	75	145	85	145	3	False
Torchic	Fire		45	310	310	310	310	60	40	70	50	45	3	False
Combusken	Fire	Fighting	60	405	405	405	405	85	60	85	60	55	3	False
Blaziken	Fire	Fighting	80	530	530	530	530	120	70	110	70	80	3	False
BlazikenMega Blaziken	Fire	Fighting	80	630	630	630	630	160	80	130	80	100	3	False
Mudkip	Water		50	310	310	310	310	70	50	50	50	40	3	False
Marshtomp	Water	Ground	70	405	405	405	405	85	70	60	70	50	3	False
Swampert	Water	Ground	100	535	535	535	535	110	90	85	90	60	3	False
SwampertMega Swampert	Water	Ground	100	635	635	635	635	150	110	95	110	70	3	False
Poochyena	Dark		35	220	220	220	220	55	35	30	30	35	3	False
Mightyena	Dark		70	420	420	420	420	90	70	60	60	70	3	False
Zigzagoon	Normal		38	240	240	240	240	30	41	30	41	60	3	False
Linoone	Normal		78	420	420	420	420	70	61	50	61	100	3	False
Wurmple	Bug		45	195	195	195	195	45	35	20	30	20	3	False
Silcoon	Bug		50	205	205	205	205	35	55	25	25	15	3	False
Beautifly	Bug	Flying	60	395	395	395	395	70	50	100	50	65	3	False
Cascoon	Bug		50	205	205	205	205	35	55	25	25	15	3	False
Dustox	Bug	Poison	60	385	385	385	385	50	70	50	90	65	3	False
Lotad	Water	Grass	40	220	220	220	220	30	30	40	50	30	3	False
Lombre	Water	Grass	60	340	340	340	340	50	50	60	70	50	3	False
Ludicolo	Water	Grass	80	480	480	480	480	70	70	90	100	70	3	False
Seedot	Grass		40	220	220	220	220	40	50	30	30	30	3	False
Nuzleaf	Grass	Dark	70	340	340	340	340	70	40	60	40	60	3	False
Shiftry	Grass	Dark	90	480	480	480	480	100	60	90	60	80	3	False
Taillow	Normal	Flying	40	270	270	270	270	55	30	30	30	85	3	False
Swellow	Normal	Flying	60	430	430	430	430	85	60	50	50	125	3	False
Wingull	Water	Flying	40	270	270	270	270	30	30	55	30	85	3	False
Pelipper	Water	Flying	60	430	430	430	430	50	100	85	70	65	3	False
Ralts	Psychic	Fairy	28	198	198	198	198	25	25	45	35	40	3	False
Kirlia	Psychic	Fairy	38	278	278	278	278	35	35	65	55	50	3	False
Gardevoir	Psychic	Fairy	68	518	518	518	518	65	65	125	115	80	3	False
GardevoirMega Gardevoir	Psychic	Fairy	68	618	618	618	618	85	65	165	135	100	3	False
Surskit	Bug	Water	40	269	269	269	269	30	32	50	52	65	3	False
Masquerain	Bug	Flying	70	414	414	414	414	60	62	80	82	60	3	False
Shroomish	Grass		60	295	295	295	295	40	60	40	60	35	3	False
Breloom	Grass	Fighting	60	460	460	460	460	130	80	60	60	70	3	False
Slakoth	Normal		60	280	280	280	280	60	60	35	35	30	3	False
Vigoroth	Normal		80	440	440	440	440	80	80	55	55	90	3	False
Slaking	Normal		150	670	670	670	670	160	100	95	65	100	3	False
Nincada	Bug	Ground	31	266	266	266	266	45	90	30	30	40	3	False
Ninjask	Bug	Flying	61	456	456	456	456	90	45	50	50	160	3	False
Shedinja	Bug	Ghost	1	236	236	236	236	90	45	30	30	40	3	False
Whismur	Normal		64	240	240	240	240	51	23	51	23	28	3	False
Loudred	Normal		84	360	360	360	360	71	43	71	43	48	3	False
Exploud	Normal		104	490	490	490	490	91	63	91	73	68	3	False
Makuhita	Fighting		72	237	237	237	237	60	30	20	30	25	3	False
Hariyama	Fighting		144	474	474	474	474	120	60	40	60	50	3	False
Azurill	Normal	Fairy	50	190	190	190	190	20	40	20	40	20	3	False
Nosepass	Rock		30	375	375	375	375	45	135	45	90	30	3	False
Skitty	Normal		50	260	260	260	260	45	45	35	35	50	3	False
Delcatty	Normal		70	380	380	380	380	65	65	55	55	70	3	False
Sableye	Dark	Ghost	50	380	380	380	380	75	75	65	65	50	3	False
SableyeMega Sableye	Dark	Ghost	50	480	480	480	480	85	125	85	115	20	3	False
Mawile	Steel	Fairy	50	380	380	380	380	85	85	55	55	50	3	False
MawileMega Mawile	Steel	Fairy	50	480	480	480	480	105	125	55	95	50	3	False
Aron	Steel	Rock	50	330	330	330	330	70	100	40	40	30	3	False
Lairon	Steel	Rock	60	430	430	430	430	90	140	50	50	40	3	False
Aggron	Steel	Rock	70	530	530	530	530	110	180	60	60	50	3	False
AggronMega Aggron	Steel		70	630	630	630	630	140	230	60	80	50	3	False
Meditite	Fighting	Psychic	30	280	280	280	280	40	55	40	55	60	3	False
Medicham	Fighting	Psychic	60	410	410	410	410	60	75	60	75	80	3	False
MedichamMega Medicham	Fighting	Psychic	60	510	510	510	510	100	85	80	85	100	3	False
Electrike	Electric		40	295	295	295	295	45	40	65	40	65	3	False
Manectric	Electric		70	475	475	475	475	75	60	105	60	105	3	False
ManectricMega Manectric	Electric		70	575	575	575	575	75	80	135	80	135	3	False
Plusle	Electric		60	405	405	405	405	50	40	85	75	95	3	False
Minun	Electric		60	405	405	405	405	40	50	75	85	95	3	False
Volbeat	Bug		65	400	400	400	400	73	55	47	75	85	3	False
Illumise	Bug		65	400	400	400	400	47	55	73	75	85	3	False
Roselia	Grass	Poison	50	400	400	400	400	60	45	100	80	65	3	False
Gulpin	Poison		70	302	302	302	302	43	53	43	53	40	3	False
Swalot	Poison		100	467	467	467	467	73	83	73	83	55	3	False
Carvanha	Water	Dark	45	305	305	305	305	90	20	65	20	65	3	False
Sharpedo	Water	Dark	70	460	460	460	460	120	40	95	40	95	3	False
SharpedoMega Sharpedo	Water	Dark	70	560	560	560	560	140	70	110	65	105	3	False
Wailmer	Water		130	400	400	400	400	70	35	70	35	60	3	False
Wailord	Water		170	500	500	500	500	90	45	90	45	60	3	False
Numel	Fire	Ground	60	305	305	305	305	60	40	65	45	35	3	False
Camerupt	Fire	Ground	70	460	460	460	460	100	70	105	75	40	3	False
CameruptMega Camerupt	Fire	Ground	70	560	560	560	560	120	100	145	105	20	3	False
Torkoal	Fire		70	470	470	470	470	85	140	85	70	20	3	False
Spoink	Psychic		60	330	330	330	330	25	35	70	80	60	3	False
Grumpig	Psychic		80	470	470	470	470	45	65	90	110	80	3	False
Spinda	Normal		60	360	360	360	360	60	60	60	60	60	3	False
Trapinch	Ground		45	290	290	290	290	100	45	45	45	10	3	False
Vibrava	Ground	Dragon	50	340	340	340	340	70	50	50	50	70	3	False
Flygon	Ground	Dragon	80	520	520	520	520	100	80	80	80	100	3	False
Cacnea	Grass		50	335	335	335	335	85	40	85	40	35	3	False
Cacturne	Grass	Dark	70	475	475	475	475	115	60	115	60	55	3	False
Swablu	Normal	Flying	45	310	310	310	310	40	60	40	75	50	3	False
Altaria	Dragon	Flying	75	490	490	490	490	70	90	70	105	80	3	False
AltariaMega Altaria	Dragon	Fairy	75	590	590	590	590	110	110	110	105	80	3	False
Zangoose	Normal		73	458	458	458	458	115	60	60	60	90	3	False
Seviper	Poison		73	458	458	458	458	100	60	100	60	65	3	False
Lunatone	Rock	Psychic	70	440	440	440	440	55	65	95	85	70	3	False
Solrock	Rock	Psychic	70	440	440	440	440	95	85	55	65	70	3	False
Barboach	Water	Ground	50	288	288	288	288	48	43	46	41	60	3	False
Whiscash	Water	Ground	110	468	468	468	468	78	73	76	71	60	3	False
Corphish	Water		43	308	308	308	308	80	65	50	35	35	3	False
Crawdaunt	Water	Dark	63	468	468	468	468	120	85	90	55	55	3	False
Baltoy	Ground	Psychic	40	300	300	300	300	40	55	40	70	55	3	False
Claydol	Ground	Psychic	60	500	500	500	500	70	105	70	120	75	3	False
Lileep	Rock	Grass	66	355	355	355	355	41	77	61	87	23	3	False
Cradily	Rock	Grass	86	495	495	495	495	81	97	81	107	43	3	False
Anorith	Rock	Bug	45	355	355	355	355	95	50	40	50	75	3	False
